id,word,word_type,severity,category,is_active,created_by,created_at,updated_at
1,殺す,partial,1,暴力,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
2,死ね,partial,1,暴力,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
3,バカ,partial,2,侮辱,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
4,アホ,partial,2,侮辱,1,,2025-11-11 11:03:09+00,2025-11-11 11:03:09+00
5,自慰,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
6,オナニー,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
7,sex,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
8,処女,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
9,セックス,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
10,SM,exact,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
11,セフレ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
12,不倫,partial,2,その他,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
13,巨乳,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
14,フェラ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
15,パイパン,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
16,AV,exact,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
17,エッチ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
18,性欲,partial,2,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
19,初体験,partial,2,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
20,アダルトビデオ,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
21,風俗,partial,1,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
22,メンズエステ,partial,2,性的,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
23,自殺,partial,1,暴力,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
24,うんこ,partial,2,侮辱,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
25,ええかげんにさらせ,partial,1,侮辱,1,,2025-11-11 11:06:40+00,2025-11-11 11:06:40+00
26,30～34歳女性,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
27,35～39歳女性,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
28,25～30歳女性,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
29,20代女性限定,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
30,既婚女性限定,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
31,独身女性限定,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
38,チン,partial,1,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
39,毛,exact,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
41,H,exact,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
42,M,exact,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
43,体の相性,partial,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
44,経験人数,partial,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
45,体験人数,partial,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
46,性癖,partial,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
47,経験,exact,3,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
48,アンダーヘア,partial,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
49,Tバック,partial,2,性的,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
50,お泊りデート,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
51,お泊まり,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
52,キス,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
53,付き合う前,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
54,レス,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
55,同性愛,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
56,彼氏,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
57,天理教,partial,3,宗教,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
58,創価学会,partial,3,宗教,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
59,参議院議員,partial,3,政治,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
60,橋下,partial,3,政治,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
61,ドイツ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
62,ドイツ人,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
63,天海,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
64,篠原,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
65,松本人志,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
66,西村京太郎,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
67,福原愛,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
68,櫻坂,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
69,韓国,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
70,旭川,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
71,23区,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
72,USJ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
73,LINE,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
74,youtube,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
75,coke,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
76,fb,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
77,GOTO,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
78,Wi-Fi,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
79,キャリコネ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
80,削除,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
81,したくない,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
82,精神,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
83,ルックス,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
84,性格,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
85,外国人,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
86,ホテル,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
87,美容,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
88,自衛官,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
89,ライブ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
90,1日,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
91,5万,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
92,10点,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
93,理由,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
94,トイレ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
95,うつ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
96,体,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
97,姉,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
98,兄,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
99,好きですか？,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
100,か？,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
101,生,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
102,ペット,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
103,カレー,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
104,ラーメン,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
105,テスト,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
106,クレジットカード,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
107,未完,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
108,大根,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
109,退会,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
110,AAA,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
111,ワタシモ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
112,チラシ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
113,きのこの山,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
114,gift,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
115,競馬,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
116,東京大震災,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
117,期間,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
118,広告,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
119,遊び人,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
120,タスク,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
121,保存,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
122,格安,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
123,男性の身,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
124,クラウド,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
125,スキンケア,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
126,パスタ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
127,救急車,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
128,番組,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
129,アンダー,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
130,卒業,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
131,推し,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
132,ニュース,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
133,恋人,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
134,ええ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
135,オレ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
136,さくら,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
137,lyp,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
138,anke,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
139,アンケ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
140,レディ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
141,メール,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
142,確認,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
143,建設,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
144,情報,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
145,うまい,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
146,招待,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
147,要望,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
148,あああ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
149,https,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
150,lee,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
151,①,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
152,【改訂版】,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
153,※,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
154,、,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
155,OKgirl,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
156,支持しますか,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
157,オススメ,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
158,なし,exact,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
159,das,partial,3,その他,1,,2025-11-11 11:15:22+00,2025-11-11 11:15:22+00
160,万個,exact,1,,1,33,2025-11-18 18:21:54+00,2025-11-18 18:21:54+00